keyword_id,keyword,category_cluster,target_url,page_status,role,monthly_search_volume_us,seo_difficulty,cpc_usd,search_intent,funnel_stage,decision_status,source_origin,rationale_and_notes
KW-0001,neon colors,Technical Guides & Buying Decisions,/guides/front-lit-vs-halo-lit-vs-dual-lit,Live Page,primary,49500,34,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0002,neon signs,General & Market Benchmarks,/,Strategic Benchmark,benchmark,40500,34,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0003,custom neon letters,Custom LED Neon Signs,/products/custom-neon-signs,Strategic Benchmark,benchmark,40500,56,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0004,personalized neon,Custom LED Neon Signs,/products/custom-neon-signs,Strategic Benchmark,benchmark,40500,61,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0005,personalized neon bar signs,Industry - Hospitality & Bars,/custom-signage/bar-neon-signs,Live Page,secondary,33100,45,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0006,sign neon custom,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,33100,53,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0007,custom signage,B2B Commercial & Business Signs,/custom-signage,Strategic Benchmark,benchmark,33100,58,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0008,custom neon sign,Custom LED Neon Signs,,Archived / Removed,Evaluated & Archived,33100,60,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0009,custom design neon sign,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,33100,61,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0010,custom made neon signs,General & Market Benchmarks,/products/custom-neon-signs,Live Page,secondary,33100,61,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0011,custom fluorescent sign,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,33100,63,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — outside the supported product and brand scope
KW-0012,custom neon signs,Custom LED Neon Signs,/products/custom-neon-signs,Strategic Benchmark,benchmark,33100,63,,commercial_investigation,consideration,KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
