url,final_url,status,error,title,representation,initial_title,initial_word_count,missing_content_candidate,meta_description,h1,canonical,word_count,schema_types,indexability_candidate,in_sitemap,inlinks_observed,outlinks,click_depth_observed,elapsed_ms,body_bytes,fetched_at,html_path
https://www.theglownique.com/,https://www.theglownique.com/,200,,Custom LED Neon Signs & 3D Business Signage | The Glownique,http,Custom LED Neon Signs & 3D Business Signage | The Glownique,3211,False,"Custom LED neon signs, 3D channel letters & slim lightboxes made to order. Free design mockup in ~2 hrs, 5-yr warranty, safe 12V & tracked crated delivery.","[""Custom LED Neon Signs & 3D Business Signage, Handcrafted Commercial & Custom Illuminated Signs That Light Up Everything Custom signs built to light up everything. ▌""]","[{""raw"": ""https://www.theglownique.com"", ""url"": ""https://www.theglownique.com/""}]",3211,"[""Answer"", ""FAQPage"", ""ImageObject"", ""Offer"", ""OfferCatalog"", ""Organization"", ""Product"", ""Question"", ""Service"", ""WebPage"", ""WebSite""]",True,True,25,57,0,1781.11,398610,2026-09-24T15:11:01.702485+00:00,html/88db52bfde63ff44737c9b5a53780a7a85f4727e4202169cb8dfbc9614b307db.html
https://www.theglownique.com/business-signs,https://www.theglownique.com/business-signs,200,,Custom Business & Storefront Signs | The Glownique,http,Custom Business & Storefront Signs | The Glownique,656,False,"Custom illuminated business signage — 3D metal channel letters, storefront signs, LED neon logos & lightboxes. Free design mockup & 5-year warranty.","[""Custom Business Signs & Storefront Signage""]","[{""raw"": ""https://www.theglownique.com/business-signs"", ""url"": ""https://www.theglownique.com/business-signs""}]",656,"[""BreadcrumbList"", ""CollectionPage"", ""ImageObject"", ""ItemList"", ""ListItem"", ""Organization"", ""WebSite""]",True,True,16,66,1,2027.49,114770,2026-09-24T15:11:01.702980+00:00,html/85d18506899d647b9b59a49e31f80bf3608e700e90d5a74ad06d387123527458.html
https://www.theglownique.com/business-signs/custom-logo-neon-signs,https://www.theglownique.com/business-signs/custom-logo-neon-signs,200,,Custom Business Logo LED Neon Signs | The Glownique,http,Custom Business Logo LED Neon Signs | The Glownique,433,False,"Custom LED logo neon signs for business brand walls, bars, salons & offices. Exact Pantone match, shatterproof 12V silicone & 5-year warranty.","[""Custom Logo Neon Signs for Business""]","[{""raw"": ""https://www.theglownique.com/business-signs/custom-logo-neon-signs"", ""url"": ""https://www.theglownique.com/business-signs/custom-logo-neon-signs""}]",433,"[""Answer"", ""Brand"", ""BreadcrumbList"", ""FAQPage"", ""ImageObject"", ""ListItem"", ""Organization"", ""Product"", ""Question"", ""WebSite""]",True,True,10,40,2,2380.87,73824,2026-09-24T15:11:01.703409+00:00,html/cb462fa65ce1dacfa5824b081c3adaadb807a14286a0e2e7691e97bc0f6b0f7d.html
https://www.theglownique.com/business-signs/channel-letter-signs,https://www.theglownique.com/business-signs/channel-letter-signs,200,,Custom Channel Letter & 3D Metal Signs | The Glownique,http,Custom Channel Letter & 3D Metal Signs | The Glownique,367,False,"Custom 3D metal channel letter signs for commercial storefronts. Front-lit, halo backlit & dual-lit stainless steel letters with 5-year warranty.","[""Custom 3D Metal Channel Letter Signs""]","[{""raw"": ""https://www.theglownique.com/business-signs/channel-letter-signs"", ""url"": ""https://www.theglownique.com/business-signs/channel-letter-signs""}]",367,"[""Answer"", ""Brand"", ""BreadcrumbList"", ""FAQPage"", ""ImageObject"", ""ListItem"", ""Organization"", ""Product"", ""Question"", ""WebSite""]",True,True,9,39,2,2389.93,73344,2026-09-24T15:11:01.703813+00:00,html/4f40055dd8cf6b1d846e1f2c855ba8387b53a019a58c22bba98d670d663ef4fa.html
https://www.theglownique.com/business-signs/backlit-signs,https://www.theglownique.com/business-signs/backlit-signs,200,,Custom Backlit Signs for Business | The Glownique,http,Custom Backlit Signs for Business | The Glownique,1017,False,Custom 3D metal backlit signs & halo-lit logo signage for business storefronts and offices. Handcrafted stainless steel letters with 5-year warranty.,"[""Custom Backlit Signs & Halo-Lit Business Signage""]","[{""raw"": ""https://www.theglownique.com/business-signs/backlit-signs"", ""url"": ""https://www.theglownique.com/business-signs/backlit-signs""}]",1017,"[""Answer"", ""Brand"", ""BreadcrumbList"", ""FAQPage"", ""ImageObject"", ""ListItem"", ""Organization"", ""Product"", ""Question"", ""WebSite""]",True,True,5,44,2,573.5,100268,2026-09-24T15:11:04.257513+00:00,html/ebaac835f0093f50d50ba767e9d8a983b2518cb3bfcc7ba612899294e4b11737.html
https://www.theglownique.com/business-signs/backlit-lobby-signs,https://www.theglownique.com/business-signs/backlit-lobby-signs,200,,Backlit Lobby Signs & Reception Wall Logos | The Glownique,http,Backlit Lobby Signs & Reception Wall Logos | The Glownique,848,False,"Custom 3D metal backlit lobby signs and illuminated reception wall logos for corporate offices. Lease-friendly mounting, silent drivers & free 2-hr mockup.","[""Custom Backlit Lobby Signs & Reception Wall Logos""]","[{""raw"": ""https://www.theglownique.com/business-signs/backlit-lobby-signs"", ""url"": ""https://www.theglownique.com/business-signs/backlit-lobby-signs""}]",848,"[""Answer"", ""Brand"", ""BreadcrumbList"", ""FAQPage"", ""ImageObject"", ""ListItem"", ""Organization"", ""Product"", ""Question"", ""WebSite""]",True,True,4,39,2,2035.74,87858,2026-09-24T15:11:04.258186+00:00,html/1ed8b2f5d440039d3224bb9afedec78be090738543ab68609c4c6911e71b226b.html
https://www.theglownique.com/business-signs/lightbox-signs,https://www.theglownique.com/business-signs/lightbox-signs,200,,Custom Ultra-Thin Lightbox & LED Signs | The Glownique,http,Custom Ultra-Thin Lightbox & LED Signs | The Glownique,312,False,"Custom edge-lit LED lightbox signs & slim backlit displays for retail storefronts, restaurant menus and events. Free mockup & 5-year warranty.","[""Custom Lightbox Signs & Ultra-Thin Displays""]","[{""raw"": ""https://www.theglownique.com/business-signs/lightbox-signs"", ""url"": ""https://www.theglownique.com/business-signs/lightbox-signs""}]",312,"[""Answer"", ""Brand"", ""BreadcrumbList"", ""FAQPage"", ""ImageObject"", ""ListItem"", ""Organization"", ""Product"", ""Question"", ""WebSite""]",True,True,8,39,2,1073.75,70779,2026-09-24T15:11:04.257883+00:00,html/fe157faa589ff01ad268d03d8a4743e1d456432f105017bf3a594a9d26e0dffc.html
https://www.theglownique.com/business-signs/acrylic-logo-signs,https://www.theglownique.com/business-signs/acrylic-logo-signs,200,,Custom Acrylic Business Signs & 3D Logos | The Glownique,http,Custom Acrylic Business Signs & 3D Logos | The Glownique,376,False,"Custom acrylic business signs with 3D UV-printed logos, standoff mounting & glowing LED neon contours. Free design mockup & 5-year warranty.","[""Custom Acrylic Logo Signs & 3D Wall Plaques""]","[{""raw"": ""https://www.theglownique.com/business-signs/acrylic-logo-signs"", ""url"": ""https://www.theglownique.com/business-signs/acrylic-logo-signs""}]",376,"[""Answer"", ""Brand"", ""BreadcrumbList"", ""FAQPage"", ""ImageObject"", ""ListItem"", ""Organization"", ""Product"", ""Question"", ""WebSite""]",True,True,10,39,2,1792.4,72396,2026-09-24T15:11:04.258040+00:00,html/2db27e7eaf85f55a18d88612c722377e7a8d23b5516234122499dcf92f12ed99.html
https://www.theglownique.com/business-signs/gym-fitness-signs,https://www.theglownique.com/business-signs/gym-fitness-signs,200,,Custom Gym Neon Signs & Fitness Signage | The Glownique,http,Custom Gym Neon Signs & Fitness Signage | The Glownique,724,False,Custom gym neon signs & motivational fitness studio logo signage built for high-traffic training floors. Free design mockup & 5-year warranty.,"[""Custom Gym Neon Signs & Fitness Studio Signage""]","[{""raw"": ""https://www.theglownique.com/business-signs/gym-fitness-signs"", ""url"": ""https://www.theglownique.com/business-signs/gym-fitness-signs""}]",724,"[""Answer"", ""BreadcrumbList"", ""CollectionPage"", ""FAQPage"", ""ImageObject"", ""ItemList"", ""ListItem"", ""Organization"", ""Question"", ""WebSite""]",True,True,2,44,2,1022.43,85633,2026-09-24T15:11:06.364821+00:00,html/3f761f966e46356b7c771ff621a8be84727e2a74d2563ac302a9622b5414742d.html
https://www.theglownique.com/business-signs/bar-signs,https://www.theglownique.com/business-signs/bar-signs,200,,Custom Neon Bar Signs for Venues | The Glownique,http,Custom Neon Bar Signs for Venues | The Glownique,718,False,"Custom neon bar signs & back-bar logo lighting for commercial venues. Dimmable, moisture-tolerant builds with free design mockup & 5-year warranty.","[""Custom Neon Bar Signs for Commercial Venues""]","[{""raw"": ""https://www.theglownique.com/business-signs/bar-signs"", ""url"": ""https://www.theglownique.com/business-signs/bar-signs""}]",718,"[""Answer"", ""BreadcrumbList"", ""CollectionPage"", ""FAQPage"", ""ImageObject"", ""ItemList"", ""ListItem"", ""Organization"", ""Question"", ""WebSite""]",True,True,2,45,2,1149.86,86425,2026-09-24T15:11:06.365040+00:00,html/3aadf17b64fabe7326261b28c7f05ebe4042a5ccdf2ed007d98ab2e294ba5c2b.html
https://www.theglownique.com/business-signs/open-signs,https://www.theglownique.com/business-signs/open-signs,200,,Custom Neon Open Signs for Storefronts | The Glownique,http,Custom Neon Open Signs for Storefronts | The Glownique,749,False,Custom LED neon open signs & illuminated trading signage for storefronts. Daylight-readable window builds with free design mockup & 5-year warranty.,"[""Custom Neon Open Signs for Storefronts""]","[{""raw"": ""https://www.theglownique.com/business-signs/open-signs"", ""url"": ""https://www.theglownique.com/business-signs/open-signs""}]",749,"[""Answer"", ""BreadcrumbList"", ""CollectionPage"", ""FAQPage"", ""ImageObject"", ""ItemList"", ""ListItem"", ""Organization"", ""Question"", ""WebSite""]",True,True,2,44,2,1586.28,85477,2026-09-24T15:11:06.365184+00:00,html/5bf9ef4e916d80597e67b6cce0da949ce82556346e9bc32eedf48c1e2dc90fef.html
https://www.theglownique.com/business-signs/restaurant-signs,https://www.theglownique.com/business-signs/restaurant-signs,200,,Custom Restaurant Signs & Cafe Signage | The Glownique,http,Custom Restaurant Signs & Cafe Signage | The Glownique,743,False,"Custom restaurant signs, illuminated café branding & backlit menu displays for dining venues. Dimmable builds with free design mockup & 5-year warranty.","[""Custom Restaurant Signs & Café Signage""]","[{""raw"": ""https://www.theglownique.com/business-signs/restaurant-signs"", ""url"": ""https://www.theglownique.com/business-signs/restaurant-signs""}]",743,"[""Answer"", ""BreadcrumbList"", ""CollectionPage"", ""FAQPage"", ""ImageObject"", ""ItemList"", ""ListItem"", ""Organization"", ""Question"", ""WebSite""]",True,True,3,45,2,2021.22,87803,2026-09-24T15:11:06.365336+00:00,html/5d3eef65654b85103709a39002d718094b004c77d1b0faff52e0045231ded904.html
