"keyword","cluster","target_url","previous_target","remap_reason","role","us_monthly_volume","seo_difficulty","intent","funnel_stage","serp_observation_2026_09_24","status","recommended_action"
"neon colors","Technical Guides & Buying Decisions","/blog/how-to-choose-the-right-neon-color-for-your-sign","/guides/front-lit-vs-halo-lit-vs-dual-lit","Was mapped to the channel-letter lighting guide. The SERP is a colour-palette query, mostly not about signs: track, do not target with a page.","primary","49500","34","commercial_investigation","MOFU (Consideration)","","Live Page","Track only."
"neon signs","General & Market Benchmarks","/","","","benchmark","40500","34","commercial_investigation","MOFU (Consideration)","","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"custom neon letters","Custom LED Neon Signs","/products/custom-neon-signs","","","benchmark","40500","56","transactional_commercial","BOFU (Decision)","","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"personalized neon","Custom LED Neon Signs","/products/custom-neon-signs","","","benchmark","40500","61","commercial_investigation","MOFU (Consideration)","","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"personalized neon bar signs","Industry - Hospitality & Bars","/custom-signage/bar-neon-signs","","","secondary","33100","45","commercial_investigation","MOFU (Consideration)","hard: marketplaces + neon brands","Live Page","Long game: needs authority (links, reviews). Keep page accurate; target long-tail variants first."
"custom signage","B2B Commercial & Business Signs","/custom-signage","","","benchmark","33100","58","transactional_commercial","BOFU (Decision)","","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"custom made neon signs","General & Market Benchmarks","/products/custom-neon-signs","","","secondary","33100","61","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom neon signs","Custom LED Neon Signs","/products/custom-neon-signs","","","benchmark","33100","63","commercial_investigation","consideration","hard: brand homepages with review stars, marketplaces, shopping grid","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"customizable neon sign","General & Market Benchmarks","/products/custom-neon-signs","","","primary","33100","63","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon lights","Custom LED Neon Signs","/custom-signage","","","secondary","18100","32","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"wedding signs","custom_signage","/custom-signage/wedding-signs","","","primary","14800","39","transactional_commercial","decision","medium: Custom Neon #1; real-photo galleries lead","Live Page","Keep mapped; improve on-page when the page is next edited."
"personalized led sign","General & Market Benchmarks","/custom-signage","","","secondary","12100","47","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"led signs","General & Market Benchmarks","/custom-signage","/products","/products is a 308 to /custom-signage","benchmark","12100","52","commercial_investigation","MOFU (Consideration)","","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"led neon signs","General & Market Benchmarks","/products/custom-neon-signs","/custom-signage","Product intent; the product page, not the hub, answers it.","benchmark","12100","56","commercial_investigation","MOFU (Consideration)","","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"outdoor business signs","B2B Commercial & Business Signs","/business-signs","","","benchmark","9900","36","commercial_investigation","MOFU (Consideration)","","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"acrylic signs","Acrylic Signs & UV Print","/business-signs/acrylic-logo-signs","","","benchmark","8100","33","commercial_investigation","MOFU (Consideration)","medium","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"neon signs lights","General & Market Benchmarks","/custom-signage","","","secondary","5400","45","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom neon led lights","Custom LED Neon Signs","/products/custom-neon-signs","","","secondary","5400","55","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom led neon signs","General & Market Benchmarks","/products/custom-neon-signs","/custom-signage","It is that page's H1; mapping it to /custom-signage invited cannibalization.","benchmark","5400","58","transactional_commercial","decision","hard","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"custom signage for business","B2B Commercial & Business Signs","/business-signs","","","primary","5400","81","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon bar signs","industries","/business-signs/bar-signs","","","primary","4400","45","commercial_investigation","consideration","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom business signs","B2B Commercial & Business Signs","/business-signs","","","benchmark","4400","84","commercial_investigation","consideration","hard: Signs.com, SmartSign, VistaPrint","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"channel letter signs","Storefront & Channel Letters","/business-signs/channel-letter-signs","","","benchmark","3600","26","commercial_investigation","MOFU (Consideration)","winnable-medium: SignMonkey #2 with ~340 words; AI Overview cites a 4,690-word guide","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"storefront signs","Industry - Retail & Storefronts","/business-signs","","","benchmark","3600","29","commercial_investigation","MOFU (Consideration)","","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"neon light up signs","Custom LED Neon Signs","/custom-signage","","","secondary","3600","33","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon bar signage","Industry - Hospitality & Bars","/custom-signage/bar-neon-signs","","","secondary","3600","35","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"customizable acrylic signs","Acrylic Signs & UV Print","/business-signs/acrylic-logo-signs","","","secondary","3600","45","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"wedding neon signs","Events & Occasions","/custom-signage/wedding-signs","","","secondary","3600","45","commercial_investigation","MOFU (Consideration)","medium","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon open sign","Industry - Retail & Storefronts","/business-signs/open-signs","","","primary","3600","48","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom perspex signs","General & Market Benchmarks","/business-signs/acrylic-logo-signs","/products/uv-print-acrylic-signs","301 consolidation 2026-09-24","secondary","2900","33","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"restaurant signs","Industry - Restaurants & Food","/business-signs/restaurant-signs","","","primary","2900","34","commercial_investigation","consideration","medium: Custom Neon ranks","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"custom acrylic signs","Acrylic Signs & UV Print","/business-signs/acrylic-logo-signs","","","benchmark","2900","36","transactional_commercial","BOFU (Decision)","medium","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"office signs","industries","/business-signs/office-signs","","","primary","2900","44","commercial_investigation","consideration","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon name sign","General & Market Benchmarks","/custom-signage","","","secondary","2900","72","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"coffee bar sign","Editorial & Blog","/blog/halloween-neon-sign-ideas","","","alternative_topic","2400","25","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"led signs for business","General & Market Benchmarks","/business-signs","","","secondary","2400","29","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"backlit signs","Backlit & Halo-Lit Signs","/business-signs/backlit-signs","","","primary","2400","31","transactional_commercial","decision","medium","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom made neon lights","Custom LED Neon Signs","/products/custom-neon-signs","","","secondary","2400","36","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"light up signs","General & Market Benchmarks","/custom-signage","","","benchmark","2400","36","commercial_investigation","MOFU (Consideration)","","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"neon lights for bedroom","Home Decor & Living","/custom-signage/home-decor-signs","","","secondary","2400","36","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon lights for room","Home Decor & Living","/custom-signage","/products","/products is a 308 to /custom-signage","primary","2400","36","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom neon lights","Custom LED Neon Signs","/products/custom-neon-signs","","","benchmark","2400","44","transactional_commercial","BOFU (Decision)","","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"backlit signage vs light box signs","Editorial & Blog","/blog/backlit-signage-vs-light-box-signs","","","primary","1900","28","informational_commercial","consideration","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"barbershop signage","Industry - Hospitality & Bars","/business-signs/salon-spa-signs","/business-signs/salon-signs","slug renamed at launch (2026-08-28)","secondary","1900","29","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"custom light up signs","General & Market Benchmarks","/custom-signage","","","primary","1900","61","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom bar signs","Industry - Hospitality & Bars","/custom-signage/bar-neon-signs","","","primary","1600","22","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon sign for room","Home Decor & Living","/custom-signage","/products","/products is a 308 to /custom-signage","secondary","1600","26","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"led neon vs glass neon","Editorial & Blog","/blog/led-neon-vs-glass-neon","","","primary","1600","29","informational","awareness","AI Overview; customneon.com most cited","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"shop signs","General & Market Benchmarks","/business-signs/retail-storefronts","/business-signs/retail-signs","slug never existed; retail page is retail-storefronts","primary","1600","33","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"custom signs for wedding","Events & Occasions","/custom-signage/wedding-signs","","","secondary","1600","36","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"bedroom neon signs","Home Decor & Living","/custom-signage/home-decor-signs","","","secondary","1600","44","commercial_investigation","MOFU (Consideration)","hard","Live Page","Long game: needs authority (links, reviews). Keep page accurate; target long-tail variants first."
"personalized neon sign","Custom LED Neon Signs","/products/custom-neon-signs","","","secondary","1600","62","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"how long do led neon signs last","Editorial & Blog","/blog/how-long-do-led-neon-signs-last","","","primary","1300","22","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"illuminated signs","General & Market Benchmarks","/custom-signage","/products","/products is a 308 to /custom-signage","secondary","1300","25","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom outdoor business signs","B2B Commercial & Business Signs","/business-signs","","","secondary","1300","29","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom lighted signs","General & Market Benchmarks","/custom-signage","/products","/products is a 308 to /custom-signage","secondary","1300","43","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"cafe signs","Industry - Restaurants & Food","/business-signs/restaurant-signs","","","secondary","1300","44","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom neon logo signs","Custom LED Neon Signs","/business-signs/custom-logo-neon-signs","","","benchmark","1300","58","transactional_commercial","BOFU (Decision)","hard: Yellowpop, Custom Neon business pages","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"gym signs","Industry - Gyms & Fitness","/business-signs/gym-fitness-signs","/business-signs/gym-signs","slug renamed at launch (2026-08-28)","primary","1000","17","commercial_investigation","MOFU (Consideration)","medium","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"happy birthday neon sign","Events & Occasions","/custom-signage/event-signs","","","primary","1000","23","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"illuminated signs for business","General & Market Benchmarks","/business-signs","","","secondary","1000","30","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"salon signs","Industry - Salons & Spas","/business-signs/salon-spa-signs","/business-signs/salon-signs","slug renamed at launch (2026-08-28)","primary","1000","33","commercial_investigation","MOFU (Consideration)","medium","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"metal letter signs","General & Market Benchmarks","/business-signs/channel-letter-signs","/products/3d-metal-neon-signs","301 consolidation 2026-09-24","secondary","1000","38","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"how to hang a neon sign","Editorial & Blog","/blog/how-to-hang-a-neon-sign","","","primary","880","20","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"beauty salon signs","Industry - Salons & Spas","/business-signs/salon-spa-signs","/business-signs/salon-signs","slug renamed at launch (2026-08-28)","secondary","880","25","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"hair salon signs","Industry - Salons & Spas","/business-signs/salon-spa-signs","/business-signs/salon-signs","slug renamed at launch (2026-08-28)","secondary","880","25","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"neon sign ideas for weddings","Editorial & Blog","/blog/neon-sign-ideas-for-weddings","","","primary","880","26","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"halloween neon sign","Editorial & Blog","/blog/halloween-neon-sign-ideas","","","broader_demand_anchor","880","30","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"outdoor business signs with lights","B2B Commercial & Business Signs","/","","","primary","880","36","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"coffee shop signs","General & Market Benchmarks","/business-signs/restaurant-signs","","","secondary","880","42","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon shop signs","General & Market Benchmarks","/business-signs/retail-storefronts","/business-signs/retail-signs","slug never existed; retail page is retail-storefronts","secondary","880","54","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"how to clean led neon signs","Editorial & Blog","/blog/how-to-clean-and-maintain-led-neon-signs","","","primary","720","16","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"office wall signs","Technical Guides & Buying Decisions","/business-signs/acrylic-logo-signs","","","secondary","720","27","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon wall signs","Technical Guides & Buying Decisions","/custom-signage","","","secondary","720","29","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"led acrylic signs","Acrylic Signs & UV Print","/business-signs/acrylic-logo-signs","/products/uv-print-acrylic-signs","301 consolidation 2026-09-24","secondary","720","34","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon wall art","Technical Guides & Buying Decisions","/custom-signage","","","secondary","720","35","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon wall lights","Technical Guides & Buying Decisions","/custom-signage/home-decor-signs","/custom-signage/home-neon-decor","slug never existed; home page is home-decor-signs","secondary","720","35","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"led outdoor business signs","B2B Commercial & Business Signs","/business-signs","","","secondary","720","36","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom neon bar signs","Industry - Hospitality & Bars","/custom-signage/bar-neon-signs","","","secondary","720","37","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"retail signs","Industry - Retail & Storefronts","/custom-signage","/products","/products is a 308 to /custom-signage","secondary","720","43","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"lightbox signs","Lightbox & Edge-Lit Signs","/business-signs/lightbox-signs","","","benchmark","720","49","commercial_investigation","MOFU (Consideration)","medium: poster-frame hardware shops favoured","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"gaming neon signs","Gaming & Entertainment","/custom-signage/gaming-neon-signs","","","primary","590","17","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"lobby signs","Industry - Corporate & Office","/business-signs/custom-logo-neon-signs","","","secondary","590","17","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon gym signs","Industry - Gyms & Fitness","/business-signs/gym-fitness-signs","/business-signs/gym-signs","slug renamed at launch (2026-08-28)","secondary","590","19","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"gym neon sign","industries","/business-signs/gym-fitness-signs","","","primary","590","23","commercial_investigation","consideration","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon sign colours","Editorial & Blog","/blog/neon-sign-colours","","","primary","590","24","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"neon signs for business","General & Market Benchmarks","/business-signs/custom-logo-neon-signs","","","benchmark","590","25","commercial_investigation","MOFU (Consideration)","","Strategic Benchmark","Benchmark: track visibility; no page is written to it alone."
"outdoor restaurant signs","Industry - Restaurants & Food","/business-signs/restaurant-signs","","","secondary","590","26","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"business logo signs","Business Logo Neon Signs","/business-signs/custom-logo-neon-signs","","","primary","590","31","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"outdoor storefront signs","Industry - Retail & Storefronts","/","","","secondary","590","32","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom backlit signage","Backlit & Halo-Lit Signs","/business-signs/lightbox-signs","","","secondary","590","44","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"game room signage","Home Decor & Living","/custom-signage/gaming-neon-signs","","","secondary","480","22","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"backlit acrylic signs","Backlit & Halo-Lit Signs","/business-signs/acrylic-logo-signs","/products/uv-print-acrylic-signs","301 consolidation 2026-09-24","secondary","480","23","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"man cave neon signs","Gaming & Entertainment","/custom-signage/bar-neon-signs","","","secondary","480","23","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"light up bar signs","Industry - Hospitality & Bars","/custom-signage/bar-neon-signs","","","secondary","480","31","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon restaurant signs","Industry - Restaurants & Food","/business-signs/restaurant-signs","","","secondary","480","32","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"printed acrylic signs","Acrylic Signs & UV Print","/business-signs/acrylic-logo-signs","","","secondary","480","32","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"acrylic signs for wall","Technical Guides & Buying Decisions","/business-signs/acrylic-logo-signs","","","secondary","480","34","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"outdoor illuminated signs","General & Market Benchmarks","/business-signs","","","secondary","480","34","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"acrylic logo signs","Acrylic Signs & UV Print","/business-signs/acrylic-logo-signs","","","primary","480","35","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"wedding led sign","Events & Occasions","/custom-signage/wedding-signs","","","secondary","480","37","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"corporate signs","Industry - Corporate & Office","/business-signs/acrylic-logo-signs","","","secondary","390","15","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"illuminated acrylic signs","Acrylic Signs & UV Print","/business-signs/acrylic-logo-signs","/products/uv-print-acrylic-signs","301 consolidation 2026-09-24","secondary","390","20","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"signage trends 2026","Editorial & Blog","/blog/signage-trends-2026","","","primary","390","21","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"nail salon signs","Industry - Salons & Spas","/business-signs/salon-spa-signs","/business-signs/salon-signs","slug renamed at launch (2026-08-28)","secondary","390","24","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"retail shop signs","Industry - Retail & Storefronts","/business-signs/retail-storefronts","/business-signs/retail-signs","slug never existed; retail page is retail-storefronts","secondary","390","24","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"acrylic signs for office","Acrylic Signs & UV Print","/business-signs/acrylic-logo-signs","","","secondary","390","28","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"outdoor business signs for buildings","B2B Commercial & Business Signs","/business-signs","","","secondary","390","30","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"led channel letter signs","Storefront & Channel Letters","/business-signs/channel-letter-signs","","","secondary","320","14","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"choose right neon color","Editorial & Blog","/blog/how-to-choose-the-right-neon-color-for-your-sign","","","primary","320","19","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"outdoor lightbox signs","Lightbox & Edge-Lit Signs","/business-signs/lightbox-signs","","","secondary","320","24","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"outdoor metal letter signs","General & Market Benchmarks","/business-signs/channel-letter-signs","/products/3d-metal-neon-signs","301 consolidation 2026-09-24","secondary","320","24","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"dimensional letter signs","General & Market Benchmarks","/business-signs/channel-letter-signs","/products/3d-metal-neon-signs","301 consolidation 2026-09-24","secondary","320","25","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"commercial backlit signs","Backlit & Halo-Lit Signs","/business-signs/backlit-signs","","","secondary","320","27","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"salon neon sign","industries","/business-signs/salon-spa-signs","","","primary","320","44","commercial_investigation","consideration","","Live Page","Keep mapped; improve on-page when the page is next edited."
"3d acrylic signs","Acrylic Signs & UV Print","/business-signs/acrylic-logo-signs","/products/uv-print-acrylic-signs","301 consolidation 2026-09-24","primary","260","12","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"backlit letters","Backlit & Halo-Lit Signs","/business-signs/channel-letter-signs","/products/3d-metal-neon-signs","301 consolidation 2026-09-24","secondary","260","13","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"gym neon sign ideas","Editorial & Blog","/blog/gym-neon-sign-ideas","","","primary","260","23","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"neon sign for home","General & Market Benchmarks","/custom-signage/home-decor-signs","/custom-signage/home-neon-decor","slug never existed; home page is home-decor-signs","secondary","260","27","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"neon wall decor","Technical Guides & Buying Decisions","/custom-signage/home-decor-signs","/custom-signage/home-neon-decor","slug never existed; home page is home-decor-signs","primary","260","27","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"wall decor neon sign","Technical Guides & Buying Decisions","/custom-signage/home-decor-signs","/custom-signage/home-neon-decor","slug never existed; home page is home-decor-signs","secondary","260","32","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"custom neon signs outdoor","Custom LED Neon Signs","/products/custom-neon-signs","","","secondary","260","36","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"coffee bar sign ideas","Editorial & Blog","/blog/halloween-neon-sign-ideas","","","alternative_topic","260","36","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"neon signs for kitchen","General & Market Benchmarks","/custom-signage/home-decor-signs","/custom-signage/home-neon-decor","slug never existed; home page is home-decor-signs","secondary","210","15","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"neon signs for gaming room","Home Decor & Living","/custom-signage/gaming-neon-signs","","","secondary","210","18","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom neon signs for wedding","Events & Occasions","/custom-signage/wedding-signs","","","primary","210","31","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"halo lit letters","Backlit & Halo-Lit Signs","/business-signs/channel-letter-signs","/products/3d-metal-neon-signs","301 consolidation 2026-09-24","secondary","210","31","commercial_investigation","MOFU (Consideration)","winnable: halolitsigns.com (ship-only) #1","Live Page","Priority: deepen the target page (specs, comparison table, real project photos) and link to it from guides."
"channel letter signs price","Technical Guides & Buying Decisions","/guides/custom-business-sign-cost","","","secondary","210","32","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom neon signs online","Custom LED Neon Signs","/products/custom-neon-signs","","","secondary","210","60","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
