keyword,estimated_monthly_volume_us,seo_difficulty,decision,cohort,role,target_url,reason
3d acrylic signs,260,12,KEEP,live_page,primary,/products/uv-print-acrylic-signs,Mapped to an existing page with matching product or commercial intent
3d metal signs,110,12,KEEP,live_page,primary,/products/3d-metal-neon-signs,Mapped to an existing page with matching product or commercial intent
acrylic backlit signage,480,26,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
acrylic custom signs,3600,30,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
acrylic light box sign,50,21,KEEP,live_page,secondary,/products/ultra-thin-lightbox,Mapped to an existing page with matching product or commercial intent
acrylic lobby signs,40,30,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
acrylic logo signs,480,35,KEEP,live_page,primary,/business-signs/acrylic-logo-signs,Mapped to an existing page with matching product or commercial intent
acrylic signs,8100,33,KEEP,strategic_benchmark,benchmark,/business-signs/acrylic-logo-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
acrylic signs for office,390,28,KEEP,live_page,secondary,/business-signs/acrylic-logo-signs,Mapped to an existing page with matching product or commercial intent
acrylic signs for wall,480,34,KEEP,live_page,secondary,/business-signs/acrylic-logo-signs,Mapped to an existing page with matching product or commercial intent
acrylic signs for weddings,170,35,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
acrylic signs wedding,1900,20,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
acrylic signs with lights,480,36,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
aesthetic neon signs,390,29,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
backlit acrylic signs,480,23,KEEP,live_page,secondary,/products/uv-print-acrylic-signs,Mapped to an existing page with matching product or commercial intent
backlit channel letter signs,70,11,KEEP,live_page,secondary,/business-signs/channel-letter-signs,Mapped to an existing page with matching product or commercial intent
backlit letters,260,13,KEEP,live_page,secondary,/products/3d-metal-neon-signs,Mapped to an existing page with matching product or commercial intent
backlit letters signage,260,13,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
backlit lobby signs,40,29,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
backlit signage,1900,28,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
backlit storefront signs,90,43,KEEP,live_page,secondary,/products/ultra-thin-lightbox,Mapped to an existing page with matching product or commercial intent
bar sign personalized,1600,22,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
barbershop led sign,90,17,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
barbershop signage,1900,29,KEEP,planned_90_day,secondary,/business-signs/salon-signs,Mapped to an approved 90-day landing-page cluster before content production
beauty salon signs,880,25,KEEP,planned_90_day,secondary,/business-signs/salon-signs,Mapped to an approved 90-day landing-page cluster before content production
bedroom neon signs,1600,44,KEEP,live_page,secondary,/products,Mapped to an existing page with matching product or commercial intent
beer neon signs,4400,45,REMOVE,,,,Remove — outside the supported product and brand scope
birthday neon sign,50,28,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
building letters,260,34,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
building letters signs,140,44,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
building signage letters,140,35,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
business light box sign,140,35,KEEP,live_page,secondary,/business-signs/lightbox-signs,Mapped to an existing page with matching product or commercial intent
business logo signs,590,31,KEEP,live_page,primary,/business-signs/custom-logo-neon-signs,Mapped to an existing page with matching product or commercial intent
cafe signs,1300,44,KEEP,planned_90_day,secondary,/custom-signage/bar-cafe-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
channel letter signs,3600,26,KEEP,strategic_benchmark,benchmark,/business-signs/channel-letter-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
channel letter signs cost,170,28,KEEP,live_page,secondary,/guides/custom-business-sign-cost,Mapped to an existing page with matching product or commercial intent
channel letter signs for business,50,29,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
channel letter signs price,210,32,KEEP,live_page,secondary,/guides/custom-business-sign-cost,Mapped to an existing page with matching product or commercial intent
clear acrylic signs,390,44,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
coffee shop signs,880,42,KEEP,planned_90_day,secondary,/custom-signage/bar-cafe-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
commercial light box sign,40,43,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
commercial retail signs,110,26,KEEP,live_page,secondary,/products,Mapped to an existing page with matching product or commercial intent
company acrylic signs,1300,44,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
corporate signs,390,15,KEEP,live_page,secondary,/business-signs/acrylic-logo-signs,Mapped to an existing page with matching product or commercial intent
custom 3d metal signs,50,12,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
custom acrylic logo signs,70,29,KEEP,live_page,secondary,/business-signs/acrylic-logo-signs,Mapped to an existing page with matching product or commercial intent
custom acrylic signage,2900,40,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
custom acrylic signs,2900,36,KEEP,strategic_benchmark,benchmark,/business-signs/acrylic-logo-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom acrylic signs for business,110,35,KEEP,live_page,secondary,/products/uv-print-acrylic-signs,Mapped to an existing page with matching product or commercial intent
custom backlit sign,590,35,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
custom backlit signage,590,44,KEEP,live_page,secondary,/business-signs/lightbox-signs,Mapped to an existing page with matching product or commercial intent
custom bar signs,1600,22,KEEP,planned_90_day,primary,/custom-signage/bar-cafe-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
custom bar signs neon,880,35,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
custom business logo signs,70,30,KEEP,live_page,secondary,/business-signs/custom-logo-neon-signs,Mapped to an existing page with matching product or commercial intent
custom business signs,4400,84,KEEP,strategic_benchmark,benchmark,/business-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom business signs outdoor,1300,39,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
custom channel letter signs,170,27,KEEP,live_page,primary,/business-signs/channel-letter-signs,Mapped to an existing page with matching product or commercial intent
custom design neon sign,33100,61,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom design neon signs,33100,65,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom fluorescent sign,33100,63,REMOVE,,,,Remove — outside the supported product and brand scope
custom gym signs,170,14,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom illuminated signs,140,34,KEEP,live_page,secondary,/business-signs,Mapped to an existing page with matching product or commercial intent
custom led neon,5400,61,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom led neon signs,5400,58,KEEP,strategic_benchmark,benchmark,/custom-signage,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom led signs,9900,53,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom light box sign,140,36,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom light up signs,1900,61,KEEP,live_page,primary,/custom-signage,Mapped to an existing page with matching product or commercial intent
custom lightbox signs,140,21,KEEP,live_page,primary,/business-signs/lightbox-signs,Mapped to an existing page with matching product or commercial intent
custom lighted signs,1300,43,KEEP,live_page,secondary,/products,Mapped to an existing page with matching product or commercial intent
custom lobby signs,50,13,KEEP,live_page,secondary,/business-signs/custom-logo-neon-signs,Mapped to an existing page with matching product or commercial intent
custom made neon lights,2400,36,KEEP,live_page,secondary,/products/custom-neon-signs,Mapped to an existing page with matching product or commercial intent
custom made neon signs,33100,61,KEEP,live_page,secondary,/products/custom-neon-signs,Mapped to an existing page with matching product or commercial intent
custom metal letter signs,50,31,KEEP,live_page,secondary,/products/3d-metal-neon-signs,Mapped to an existing page with matching product or commercial intent
custom name neon sign,1300,66,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom neon,1300,59,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom neon bar signs,720,37,KEEP,planned_90_day,secondary,/custom-signage/bar-cafe-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
custom neon led lights,5400,55,KEEP,live_page,secondary,/products/custom-neon-signs,Mapped to an existing page with matching product or commercial intent
custom neon letters,40500,56,KEEP,strategic_benchmark,benchmark,/products/custom-neon-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom neon light design,2400,36,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom neon light signs,1300,60,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom neon lights,2400,44,KEEP,strategic_benchmark,benchmark,/products/custom-neon-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom neon logo sign,590,36,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
custom neon logo signs,1300,58,KEEP,strategic_benchmark,benchmark,/business-signs/custom-logo-neon-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom neon name sign,1300,67,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom neon sign,33100,60,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
custom neon sign cost,110,24,KEEP,live_page,primary,/guides/custom-business-sign-cost,Mapped to an existing page with matching product or commercial intent
custom neon signs,33100,63,KEEP,strategic_benchmark,benchmark,/products/custom-neon-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom neon signs for bar,720,33,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom neon signs for business,140,56,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom neon signs for restaurants,70,18,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
custom neon signs for wedding,210,31,KEEP,planned_90_day,primary,/custom-signage/wedding-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
custom neon signs logo,720,59,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
custom neon signs online,210,60,KEEP,live_page,secondary,/products/custom-neon-signs,Mapped to an existing page with matching product or commercial intent
custom neon signs outdoor,260,36,KEEP,live_page,secondary,/products/custom-neon-signs,Mapped to an existing page with matching product or commercial intent
custom neon wall signs,90,59,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
custom neon wedding sign,260,32,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom neon wedding signs,260,33,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom outdoor business signs,1300,29,KEEP,live_page,secondary,/business-signs,Mapped to an existing page with matching product or commercial intent
custom perspex signs,2900,33,KEEP,live_page,secondary,/products/uv-print-acrylic-signs,Mapped to an existing page with matching product or commercial intent
custom signage,33100,58,KEEP,strategic_benchmark,benchmark,/custom-signage,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom signage for business,5400,81,KEEP,live_page,primary,/business-signs,Mapped to an existing page with matching product or commercial intent
custom signs,27100,54,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
custom signs for bars,1600,25,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom signs for businesses,8100,38,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
custom signs for wedding,1600,36,KEEP,planned_90_day,secondary,/custom-signage/wedding-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
custom signs outdoor,2400,34,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom signs that light up,2400,62,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
custom storefront signs,170,42,KEEP,live_page,secondary,/,Mapped to an existing page with matching product or commercial intent
custom wedding neon signs,90,32,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
customizable acrylic signs,3600,45,KEEP,live_page,secondary,/business-signs/acrylic-logo-signs,Mapped to an existing page with matching product or commercial intent
customizable light up sign,1900,60,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
customizable neon sign,33100,63,KEEP,live_page,primary,/products/custom-neon-signs,Mapped to an existing page with matching product or commercial intent
customized parking signs,2900,44,REMOVE,,,,Remove — outside the supported product and brand scope
customneonsign,33100,71,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
dimensional letter signs,320,25,KEEP,live_page,secondary,/products/3d-metal-neon-signs,Mapped to an existing page with matching product or commercial intent
dorm room neon signs,90,23,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
edge lit signs,210,23,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
event neon signs,70,45,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
exterior building letters,170,34,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
exterior letters for buildings,170,34,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
front lit channel letter signs,170,12,KEEP,live_page,secondary,/business-signs/channel-letter-signs,Mapped to an existing page with matching product or commercial intent
front lit signage,140,11,KEEP,live_page,secondary,/products/3d-metal-neon-signs,Mapped to an existing page with matching product or commercial intent
game room signage,480,22,KEEP,planned_90_day,secondary,/custom-signage/gaming-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
gamer neon signs,170,19,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
gaming neon signs,590,17,KEEP,planned_90_day,primary,/custom-signage/gaming-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
glow party sign,90,23,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
gym signs,1000,17,KEEP,planned_90_day,primary,/business-signs/gym-signs,Mapped to an approved 90-day landing-page cluster before content production
hair salon signs,880,25,KEEP,planned_90_day,secondary,/business-signs/salon-signs,Mapped to an approved 90-day landing-page cluster before content production
hair salon signs outdoor,170,26,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
halo lit letters,210,31,KEEP,live_page,secondary,/products/3d-metal-neon-signs,Mapped to an existing page with matching product or commercial intent
happy birthday led sign,720,23,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
