keyword,cohort,role,target_url,estimated_monthly_volume_us,seo_difficulty,tracker_status,rationale
neon signs,strategic_benchmark,benchmark,/,40500,34,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
outdoor business signs,strategic_benchmark,benchmark,/business-signs,9900,36,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom business signs,strategic_benchmark,benchmark,/business-signs,4400,84,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
storefront signs,strategic_benchmark,benchmark,/business-signs,3600,29,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
acrylic signs,strategic_benchmark,benchmark,/business-signs/acrylic-logo-signs,8100,33,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom acrylic signs,strategic_benchmark,benchmark,/business-signs/acrylic-logo-signs,2900,36,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
channel letter signs,strategic_benchmark,benchmark,/business-signs/channel-letter-signs,3600,26,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom neon logo signs,strategic_benchmark,benchmark,/business-signs/custom-logo-neon-signs,1300,58,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
neon signs for business,strategic_benchmark,benchmark,/business-signs/custom-logo-neon-signs,590,25,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
lightbox signs,strategic_benchmark,benchmark,/business-signs/lightbox-signs,720,49,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom signage,strategic_benchmark,benchmark,/custom-signage,33100,58,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
led neon signs,strategic_benchmark,benchmark,/custom-signage,12100,56,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
custom led neon signs,strategic_benchmark,benchmark,/custom-signage,5400,58,ok,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
light up signs,strategic_benchmark,benchmark,/custom-signage,2400,36,unstable,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
