"page_id","cluster","canonical_url","page_status","primary_keyword","supporting_questions","intent","audience","funnel_stage","page_type","proof_required","primary_conversion","schema_candidate","search_volume","keyword_difficulty","metrics_status","priority","notes"
"HOME","brand","/","existing","the glownique custom signs","what does The Glownique make|how to get a quote","navigational_commercial","all buyers","decision","homepage","brand identity|four product categories|verified profiles","free_mockup","Organization;WebSite","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Own exact brand plus illuminated-sign category; avoid competing with product pages."
"PRODUCTS","catalog","/products","existing","custom illuminated sign types","which illuminated sign type suits my project|neon vs channel letters vs lightbox","commercial_investigation","mixed B2B and consumer","consideration","catalog_hub","four product definitions|comparison logic|real imagery","view_product_or_quote","CollectionPage;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Keep as broad catalog; future B2B hub owns business-sign intent."
"CURRENT-NEON","catalog","/products/custom-neon-signs","existing","custom LED neon signs","colors|sizes|indoor vs outdoor|logo capability","transactional_commercial","mixed B2B and consumer","decision","product_detail","materials|sizes|real projects|warranty evidence","free_mockup","Product_or_Service_PENDING;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Future B2B neon page must target logo/business use to avoid duplication."
"CURRENT-CHANNEL","catalog","/products/3d-metal-neon-signs","existing","3D metal neon signs","frontlit|halo backlit|dual-lit|mounting","transactional_commercial","mixed B2B and consumer","decision","product_detail","fabrication|lighting|ratings|mounting|projects","free_mockup","Product_or_Service_PENDING;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Consider renaming visible terminology to channel letters after query validation."
"CURRENT-LIGHTBOX","catalog","/products/ultra-thin-lightbox","existing","ultra thin LED lightbox","how thin|graphic replacement|mounting|outdoor option","transactional_commercial","retail and display buyers","decision","product_detail","dimensions|light distribution|graphic-change demo","free_mockup","Product_or_Service_PENDING;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Define slim edge-lit product clearly versus cabinet lightboxes."
"CURRENT-ACRYLIC","catalog","/products/uv-print-acrylic-signs","existing","illuminated acrylic signs","UV print vs neon|color matching|outdoor suitability","transactional_commercial","brand and interior buyers","decision","product_detail","print samples|color evidence|layer build|projects","free_mockup","Product_or_Service_PENDING;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Future B2B page owns acrylic logo-sign phrasing."
"BIZ-HUB","business_signs","/business-signs","future","custom business signs","which illuminated business sign is best|how quotes work|what affects cost","commercial_investigation","US business owners and brand teams","consideration","commercial_hub","product comparison|US fulfillment facts|project proof|expert reviewer","free_mockup","CollectionPage;BreadcrumbList","4400","84","VERIFIED_UBERSUGGEST_MCP","P0","Primary B2B hub; national supplier wording only; CPC $7.29."
"BIZ-NEON","business_signs","/business-signs/custom-logo-neon-signs","future","custom logo neon signs for business","can you match my logo|indoor vs outdoor|price drivers|installation","transactional_commercial","restaurants retail salons offices gyms","decision","commercial_product","logo case studies|color matching|sizes|approved price basis","free_mockup","Product_or_Service_PENDING;BreadcrumbList","140","56","VERIFIED_UBERSUGGEST_MCP","P0","Target business/logo modifier; link to general neon product detail; high CPC $16.94."
"BIZ-CHANNEL","business_signs","/business-signs/channel-letter-signs","future","custom channel letter signs","front lit vs backlit|mounting|permits|electrical|cost","transactional_commercial","storefront and facilities buyers","decision","commercial_product","fabrication photos|ratings|mounting|install boundaries|projects","free_mockup","Product_or_Service_PENDING;BreadcrumbList","3600","26","VERIFIED_UBERSUGGEST_MCP","P0","Golden goose sub-cluster: 3,600 vol, low SD 26, high CPC $10.90."
"BIZ-LIGHTBOX","business_signs","/business-signs/lightbox-signs","future","custom lightbox signs","slim vs cabinet|single vs double sided|graphics|cost","transactional_commercial","retail hospitality exhibit buyers","decision","commercial_product","product types|dimensions|brightness|graphic changes|projects","free_mockup","Product_or_Service_PENDING;BreadcrumbList","140","21","VERIFIED_UBERSUGGEST_MCP","P0","Low SD 21, high intent CPC $6.92; do not imply unsupported cabinet/freestanding products."
"BIZ-ACRYLIC","business_signs","/business-signs/acrylic-logo-signs","future","custom acrylic logo signs","illuminated vs non illuminated|3D layers|color match|mounting","transactional_commercial","office retail hospitality buyers","decision","commercial_product","print/color samples|layers|mounting|project proof","free_mockup","Product_or_Service_PENDING;BreadcrumbList","2900","36","VERIFIED_UBERSUGGEST_MCP","P0","Custom acrylic signs has 2,900 vol, low-medium SD 36, CPC $9.39; broad term 8,100 vol."
"IND-BAR","industries","/business-signs/bar-signs","existing","neon bar signs","cocktail bar logo|behind-bar mounting|dimming for evening service|grease and moisture","commercial_investigation","bar pub and cocktail lounge owners","consideration","industry_landing","bar projects|IP65 evidence|dimmer options|viewing distance","free_mockup","CollectionPage;BreadcrumbList","4400","45","VERIFIED_UBERSUGGEST_MCP","P0","Split out of former restaurants-bars: distinct head term and distinct intent. CPC $1.05; competitor bar-signs page earns 4575 visits/mo."
"IND-RESTAURANT","industries","/business-signs/restaurant-signs","existing","restaurant signs","storefront vs interior|menu and specials boards|grease and steam|outdoor use","commercial_investigation","restaurant and cafe owners","consideration","industry_landing","restaurant projects|cleaning|visibility|installation context","free_mockup","CollectionPage;BreadcrumbList","2900","34","VERIFIED_UBERSUGGEST_MCP","P0","Split out of former restaurants-bars. Low SD 34 against high CPC $6.34 is the best value ratio in the industries cluster."
"IND-OPEN","industries","/business-signs/open-signs","existing","neon open sign","LED vs neon flex|window mounting|daylight brightness|on-off scheduling","transactional_commercial","storefront retail and hospitality owners","decision","industry_landing","window-mount projects|daylight brightness evidence|power draw","free_mockup","CollectionPage;BreadcrumbList","3600","48","VERIFIED_UBERSUGGEST_MCP","P0","New page with no predecessor row. Competitor open-signs page earns 3342 visits/mo; CPC $4.49."
"IND-RETAIL","industries","/business-signs/retail-storefronts","existing","custom retail storefront signs","day and night visibility|window vs facade|permits|maintenance","commercial_investigation","retail owners and visual merchandisers","consideration","industry_landing","storefront projects|viewing distance|weather|mounting","free_mockup","Service;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","National supply not local installation. Slug unchanged: no head-term data yet, so do not rename on guesswork. Validate before build."
"IND-SALON","industries","/business-signs/salon-spa-signs","existing","salon neon sign","reception logo|window neon|brand colors|installation","commercial_investigation","salon spa and lash studio owners","consideration","industry_landing","salon projects|brand matching|cleanability|size","free_mockup","CollectionPage;BreadcrumbList","320","44","VERIFIED_UBERSUGGEST_MCP","P1","Renamed from salons-spas to match the head term. Avoid generic decor copy; show actual brand constraints. CPC $1.92."
"IND-OFFICE","industries","/business-signs/office-signs","existing","office signs","acrylic vs metal|halo lighting|wall mounting|brand match","commercial_investigation","office managers designers and agencies","consideration","industry_landing","reception projects|finish samples|mounting|color proof","free_mockup","CollectionPage;BreadcrumbList","2900","44","VERIFIED_UBERSUGGEST_MCP","P0","Renamed from offices-reception which matched no query. Highest CPC in the cluster at $9.82; company acrylic signs (1300 vol) is a supporting term. Link primarily to channel-letter and acrylic-logo pages."
"IND-GYM","industries","/business-signs/gym-fitness-signs","existing","gym neon sign","logo wall|durability|brightness|size|installation","commercial_investigation","gym and fitness studio owners","consideration","industry_landing","gym projects|durability|viewing distance|energy evidence","free_mockup","CollectionPage;BreadcrumbList","590","23","VERIFIED_UBERSUGGEST_MCP","P0","Renamed from gyms-fitness-studios. Lowest difficulty on the whole map (SD 23): build first as the cluster's proof-of-rank page. Use proof before claims about energy or lifespan."
"IND-TRADESHOW","industries","/business-signs/trade-show-signs","existing","trade show booth signs","portable|reusable|setup|shipping deadline|power","commercial_investigation","event teams exhibitors and agencies","consideration","industry_landing","event projects|packing|setup|weight|lead-time evidence","free_mockup","Service;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Renamed from events-trade-shows and deliberately KEPT in the B2B cluster: exhibitor intent is commercial and must not be merged with consumer party queries under custom-signage. Do not promise rush delivery without operations approval."
"SIG-HUB","custom_signage","/custom-signage","existing","custom neon signs","which material for my occasion|sizing|battery vs plug|lead time","commercial_investigation","consumers event planners and gift buyers","consideration","collection_hub","occasion galleries|material comparison|real customer photos|lead-time evidence","free_mockup","CollectionPage;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Consumer collection hub. Existed as the broad product catalog; now also parents the three occasion collections. Positioning decision resolved 2026-08-28 in favour of building it."
"SIG-WEDDING","custom_signage","/custom-signage/wedding-signs","existing","wedding signs","battery vs plug|arch and stand mounting|acrylic backer shapes|warm white for photos","transactional_commercial","couples and wedding planners","decision","collection_landing","real wedding photos|2700K photo evidence|portability|template gallery","free_mockup","CollectionPage;BreadcrumbList","14800","39","VERIFIED_UBERSUGGEST_MCP","P0","Largest single volume on the map (peaks 18.1k) at only SD 39. Supporting term wedding neon sign adds 2900 vol at SD 42: one page serves both, do not split. CPC $1.88 reflects consumer not commercial value."
"SIG-EVENT","custom_signage","/custom-signage/event-signs","existing","party neon signs","birthday and party displays|rental vs purchase|portability|lead time","transactional_commercial","consumers and party planners","decision","collection_landing","party projects|portability|template gallery","free_mockup","CollectionPage;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P2","Consumer party intent only. B2B trade-show queries belong to IND-TRADESHOW, not here: keep the two pages apart to avoid intent-mixing and cannibalization."
