"url","path","page_type","http_status_live","canonical_self","indexable","in_sitemap","title","title_len","meta_description_len","h1","h2_count","main_words","internal_links_out","inlinks_total","inlinks_contextual","img_count","img_missing_or_empty_alt","schema_types","primary_topic_keywords","search_intent","conversion_purpose","thin_content_risk","duplication_risk","orphan_risk","action"
"https://www.theglownique.com/","/","homepage","200","yes","yes","yes","Custom LED Neon Signs & 3D Business Signage | The Glownique","59","155","Custom LED Neon Signs & 3D Business Signage, Handcrafted Commercial & Custom Illuminated Signs That Light Up EverythingCustom signs built tolight up everything.","19","2742","17","49","4","43","2","Organization WebSite WebPage FAQPage","neon signs (40500); outdoor business signs with lights (880); outdoor storefront signs (590); custom storefront signs (170)","navigational + commercial","quote configurator / WhatsApp / Etsy","low","text overlap: / (1)","n/a","IMPLEMENTED: visible H1; unverified claims removed; banner LCP/CLS fix; ItemList schema; title aligned to H1"
"https://www.theglownique.com/accessibility","/accessibility","policy","200","yes","yes","yes","Accessibility Statement | The Glownique","39","150","Accessibility Statement","5","579","13","49","0","2","2","Organization WebSite","","support / trust","trust","n/a","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/blog","/blog","blog-hub","200","yes","yes","yes","Custom Neon & Signage Blog | The Glownique","42","150","Ideas, Colour & Care for Illuminated Signs","5","767","26","49","0","13","2","Organization WebSite Blog BreadcrumbList","","informational","route to article","n/a","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/blog/christmas-neon-sign-ideas","/blog/christmas-neon-sign-ideas","blog-post","200","yes","yes","yes","Christmas Neon Sign Ideas: Window & Holiday Displays | The Glownique","68","155","Christmas Neon Sign Ideas: Festive Window Displays, Warm Accents & Holiday Glow","11","1104","16","5","5","3","2","Organization WebSite BlogPosting BreadcrumbList FAQPage","","informational / inspiration","article CTA","low","low","ok",""
"https://www.theglownique.com/blog/coffee-bar-neon-sign-ideas","/blog/coffee-bar-neon-sign-ideas","blog-post","200","yes","yes","yes","Coffee Bar Neon Sign Ideas: Kitchen & Café Styling | The Glownique","66","157","Coffee Bar Neon Sign Ideas: Styling Your Kitchen Nook or Commercial Café","12","1256","16","5","5","3","2","Organization WebSite BlogPosting BreadcrumbList FAQPage","","informational / inspiration","article CTA","low","low","ok",""
"https://www.theglownique.com/blog/custom-acrylic-signs-office-wall-guide","/blog/custom-acrylic-signs-office-wall-guide","blog-post","200","yes","yes","yes","Custom Acrylic Signs for Office Walls | The Glownique","53","156","Custom Acrylic Signs for Business & Office Walls: 3D Layering, Standoffs & LED Contour Guide","12","1467","18","1","1","3","2","Organization WebSite BlogPosting BreadcrumbList FAQPage","","informational / inspiration","article CTA","low","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/blog/custom-gaming-neon-signs-streaming-setup-guide","/blog/custom-gaming-neon-signs-streaming-setup-guide","blog-post","200","yes","yes","yes","Custom Gaming Neon Signs for Streaming | The Glownique","54","157","Custom Gaming Neon Signs: Streaming Setup, Camera Glare & Sizing Guide","12","1171","17","2","2","3","2","Organization WebSite BlogPosting BreadcrumbList FAQPage","","informational / inspiration","article CTA","low","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/blog/custom-neon-signs-for-bars-and-cafes","/blog/custom-neon-signs-for-bars-and-cafes","blog-post","200","yes","yes","yes","Custom Neon Signs for Bars & Cafes | The Glownique","50","158","Custom Neon Signs for Bars, Cafes & Restaurants: Sizing, Lighting & Durability Guide","13","1327","17","6","6","3","2","Organization WebSite BlogPosting BreadcrumbList FAQPage","","informational / inspiration","article CTA","low","low","ok",""
"https://www.theglownique.com/blog/custom-neon-signs-for-bedroom-and-home-decor","/blog/custom-neon-signs-for-bedroom-and-home-decor","blog-post","200","yes","yes","yes","Custom Neon Signs for Bedrooms & Decor | The Glownique","54","158","Custom Neon Signs for Bedrooms & Home Decor: Sizing, Warmth & Dimming Guide","12","1221","13","4","4","3","2","Organization WebSite BlogPosting BreadcrumbList FAQPage","","informational / inspiration","article CTA","low","low","ok",""
"https://www.theglownique.com/blog/custom-wedding-neon-signs-backdrop-guide","/blog/custom-wedding-neon-signs-backdrop-guide","blog-post","200","yes","yes","yes","Custom Wedding Neon Signs & Backdrops | The Glownique","53","149","Custom Wedding Neon Signs: Sizing, Backdrop Hanging & Photography Guide","13","1355","17","3","3","3","2","Organization WebSite BlogPosting BreadcrumbList FAQPage","","informational / inspiration","article CTA","low","low","ok",""
